" Field",Protocol Trials,Imported Trials,All,Protocol Trials.Cancer Centers,Protocol Trials.CTEP and DCP,Protocol Trials.DCP,Protocol Trials.CTEP Rostered; NCORP Studies,Protocol Trials.CTEP Non-rostered,Imported Trials.Cancer Centers,Imported Trials.CCR,Protocol Trials.CTEP and/or DCP
sites.contact_email,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.contact_name,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.contact_phone,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.org_address_line_1,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.org_address_line_2,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.org_city,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.org_coordinates,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.org_country,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.org_email,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.org_family,,,Defined by the NCI Designated Cancer Centers; curated and maintained by the CTRO within CTRP,,,,,,,,
sites.org_fax,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.org_name,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.org_phone,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.org_postal_code,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.org_state_or_province,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.org_tty,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.org_va,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.recruitment_status,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
sites.recruitment_status_date,,,,Abstracted by the CTRO from information provided by the Lead Organization.,,DCP Protocol Information Office (PIO),Cancer Trials Support Unit (CTSU)/RSS,CTEP,Added by the Cancer Center once a trial has been imported into CTRP.,Abstracted by the CTRO,
start_date,Assigned by the Lead Organization.,Assigned by the Sponsor/Responsible Party on ClinicalTrials.gov.,,,,,,,,,
start_date_type_code,Assigned by the Lead Organization.,Assigned by the Sponsor/Responsible Party on ClinicalTrials.gov.,,,,,,,,,
study_model_code,Abstracted by the CTRO,Assigned by the Sponsor/Responsible Party on ClinicalTrials.gov,,,,,,,,,
study_model_other_text,Abstracted by the CTRO,Assigned by the Sponsor/Responsible Party on ClinicalTrials.gov,,,,,,,,,
study_population_description,Abstracted by the CTRO,Assigned by the Sponsor/Responsible Party on ClinicalTrials.gov,,,,,,,,,
study_protocol_type,Assigned by the Lead Organization,Assigned by the Sponsor/Responsible Party on ClinicalTrials.gov,,,,,,,,,
study_source,,Assigned by the CTRO,,Assigned by the Lead Organization,,,,,,,Assigned by the submitter
study_subtype_code,Abstracted by the CTRO,Assigned by the Sponsor/Responsible Party on ClinicalTrials.gov,,,,,,,,,
why_study_stopped,,,Assigned by the Lead Organization.,,,,,,,,
